Client,data_recente,target,qt_faltas,moda_staff_faltante,moda_servico_faltante,moda_servico_cancelado,moda_staff_cancelado,antecedencia,qt_cancelamentos,moda_staff_prestou_servico,moda_dia,qte_servicos_por_dia,media,mediana,desvio_padrao,min,max,sum,qte_servico_recebido,recencia,ultimo_pagamento
HAMN01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,2.0,57.5,57.5,24.748737341529164,40.0,75.0,115.0,2,29.0,115.0
LEHJ01,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,46.666666666666664,50.0,5.773502691896258,40.0,50.0,140.0,3,28.0,50.0
MCLI01,2018-07-25,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,50.0,50.0,14.142135623730951,40.0,60.0,100.0,2,54.0,60.0
KALA01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Thursday,2.0,121.0,121.0,41.012193308819754,92.0,150.0,242.0,2,50.0,242.0
OGDJ01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
APTM01,2018-07-29,0,0,nenhum,nenhum,SHCM,JJ,1.0,1,JJ,Friday,2.0,35.775,33.9,6.902949680079833,28.8,44.8,286.2,8,30.0,96.6
WANM01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,2.0,56.1375,55.2,19.15469372416763,34.15,80.0,224.55,4,7.0,130.4
MCWC01,2018-06-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
CASN01,2018-06-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
DELC01,2018-06-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.0,40.0,40.0,14.142135623730951,30.0,50.0,80.0,2,43.0,50.0
HAMA01,2018-06-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
IRWE01,2018-07-28,0,0,nenhum,nenhum,CON,JOANNE,28.0,1,SINEAD,Saturday,2.25,52.22222222222222,55.0,21.666666666666664,0.0,70.0,470.0,9,28.0,120.0
GALG01,2018-06-09,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,1.0,82.0,82.0,,82.0,82.0,82.0,1,63.0,82.0
LEHN01,2018-06-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
EZIR01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,1.5,78.13333333333334,82.0,26.016405080897194,50.4,102.0,234.4,3,7.0,102.0
GOSD01,2018-07-06,0,0,nenhum,nenhum,SHCW,JJ,20.0,1,JJ,Friday,1.0,105.2,102.0,24.066574330386118,82.0,130.0,526.0,5,6.0,130.0
SKUD01,2018-07-27,0,0,nenhum,nenhum,SBD,BECKY,4.0,3,BECKY,Friday,1.0,93.33333333333333,50.0,78.10249675906655,50.0,230.0,840.0,9,7.0,80.0
TRAS02,2018-06-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
FISV01,2018-06-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Saturday,1.0,60.0,60.0,,60.0,60.0,60.0,1,56.0,60.0
SENM01,2018-07-20,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Saturday,1.0,70.0,70.0,14.142135623730951,60.0,80.0,140.0,2,47.0,80.0
LAS01,2018-06-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
DEYS01,2018-07-03,1,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Saturday,1.0,60.0,60.0,,60.0,60.0,60.0,1,3.0,60.0
WELN01,2018-07-10,1,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,1.0,30.0,30.0,,30.0,30.0,30.0,1,10.0,30.0
TAMA01,2018-06-30,0,1,KELLY,CON,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
KRAV01,2018-06-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,KELLY,Saturday,3.0,60.0,75.0,30.4138126514911,25.0,80.0,180.0,3,35.0,180.0
KIMH01,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
NORJ01,2018-07-03,0,1,JJ,SHCM,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
OWED01,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Tuesday,1.0,45.0,45.0,14.142135623730951,35.0,55.0,90.0,2,35.0,55.0
TASJ01,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
DOLD01,2018-05-23,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,1.0,82.0,82.0,,82.0,82.0,82.0,1,46.0,82.0
KREJ01,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
DHAS02,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
NICP01,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.3333333333333333,39.7,40.0,11.90350088559384,28.8,50.0,158.8,4,32.0,50.0
LAWJ01,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Tuesday,1.0,35.0,35.0,,35.0,35.0,35.0,1,35.0,35.0
ROWD01,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Tuesday,1.0,70.0,70.0,14.142135623730951,60.0,80.0,140.0,2,35.0,80.0
JOHD01,2018-07-03,0,0,nenhum,nenhum,SHCM,SINEAD,7.0,1,SINEAD,Thursday,1.0,45.0,45.0,14.142135623730951,35.0,55.0,90.0,2,35.0,55.0
PANB01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
ALVJ01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,82.0,82.0,,82.0,82.0,82.0,1,64.0,82.0
PARD01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
RIDY01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
TAYN01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
GELK01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Thursday,1.5,78.13333333333334,82.0,26.016405080897194,50.4,102.0,234.4,3,34.0,102.0
GRET01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Wednesday,1.5,47.13333333333333,41.4,11.164825718896527,40.0,60.0,141.4,3,28.0,101.4
TANJ01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
ARRM01,2018-07-10,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.3333333333333333,62.25,53.5,15.745747725293056,45.0,85.0,498.0,8,3.0,52.0
SINT01,2018-04-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
SINW01,2018-04-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
DAMK01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
GROJ01,2018-07-04,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
STOV01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Wednesday,1.0,40.0,40.0,,40.0,40.0,40.0,1,71.0,40.0
DEH01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
JOHJ01,2018-07-17,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Saturday,1.0,106.66666666666667,90.0,47.258156262526086,70.0,160.0,320.0,3,48.0,90.0
GRIA01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Thursday,1.0,80.0,80.0,14.142135623730951,70.0,90.0,160.0,2,43.0,90.0
CYRA01,2018-07-05,0,1,BECKY,CON,nenhum,nenhum,,0,BECKY,Tuesday,1.0,60.0,60.0,,60.0,60.0,60.0,1,65.0,60.0
KIRJ01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
POUG01,2018-07-20,0,0,nenhum,nenhum,nenhum,nenhum,,0,KELLY,Thursday,1.0,35.0,35.0,,35.0,35.0,35.0,1,15.0,35.0
BANR01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Saturday,2.0,53.75,52.5,12.5,40.0,70.0,215.0,4,33.0,120.0
GUBD01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,50.0,50.0,14.142135623730951,40.0,60.0,100.0,2,41.0,60.0
BRIK01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Thursday,1.0,82.0,82.0,,82.0,82.0,82.0,1,63.0,82.0
KURG01,2018-04-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
GALB01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Thursday,1.0,53.333333333333336,60.0,11.547005383792515,40.0,60.0,160.0,3,36.0,60.0
KOLK01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
VALT01,2018-07-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
CHMY01,2018-07-27,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.0,70.0,70.0,14.142135623730951,60.0,80.0,140.0,2,21.0,80.0
MARO01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,KELLY,Friday,1.0,60.0,60.0,,60.0,60.0,60.0,1,28.0,60.0
SHAM01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
MINA02,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
HIMB01,2018-07-06,0,0,nenhum,nenhum,SHCW,JJ,1.0,1,JJ,Thursday,1.0,82.0,82.0,,82.0,82.0,82.0,1,43.0,82.0
MUMK01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.3333333333333333,75.5,75.0,4.932882862316247,70.0,82.0,302.0,4,35.0,145.0
BOYL01,2018-07-06,0,1,SINEAD,CON,nenhum,nenhum,,0,SINEAD,Wednesday,2.0,57.5,57.5,17.67766952966369,45.0,70.0,115.0,2,72.0,115.0
MCAJ01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
CALD01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
ROBM01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
KENH01,2018-04-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
BEBY01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
HADD01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
MOIB01,2018-07-06,0,0,nenhum,nenhum,SHCW,SINEAD,2.0,1,SINEAD,Thursday,2.0,66.575,70.0,22.276800338767984,36.3,90.0,266.3,4,43.0,196.3
TERJ01,2018-07-06,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
