Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,mes_nome,mes_n,dia_nome,dia_n
285,2018-04-22,Women's hair cut,SKUT01,BECKY,1,60.0,3.0,4.8,April,4,Sunday,6
286,2018-04-22,Women's hair cut,BAIL01,BECKY,1,60.0,3.0,4.8,April,4,Sunday,6
287,2018-04-22,Women's hair cut,SARK01,JJ,1,82.0,4.1,6.56,April,4,Sunday,6
287,2018-04-22,elchim dryer,SARK01,JJ,1,224.1,11.205,17.928,April,4,Sunday,6
288,2018-04-22,Men's hair cut,FRAW01,BECKY,1,30.0,1.5,2.4,April,4,Sunday,6
289,2018-04-24,Men's hair cut,HENB01,JJ,1,40.0,2.0,3.2,April,4,Tuesday,1
29,2018-03-21,Women's hair cut,KRIJ01,JJ,1,82.0,4.1,6.56,March,3,Wednesday,2
290,2018-04-24,Women's hair cut,KATM01,JJ,1,82.0,4.1,6.56,April,4,Tuesday,1
291,2018-04-24,Blowdry,SKUD01,BECKY,1,50.0,2.5,4.0,April,4,Tuesday,1
292,2018-04-24,Men's hair cut,SCHJ01,JJ,1,60.0,3.0,4.8,April,4,Tuesday,1
292,2018-04-24,Men's camo color,SCHJ01,JJ,1,45.0,2.25,3.6,April,4,Tuesday,1
293,2018-04-24,Men's hair cut,BERI01,JJ,1,60.0,3.0,4.8,April,4,Tuesday,1
294,2018-04-24,Men's hair cut,OWED01,SINEAD,1,35.0,1.75,2.8,April,4,Tuesday,1
295,2018-04-24,Women's hair cut,LEVL01,JJ,1,82.0,4.1,6.56,April,4,Tuesday,1
296,2018-04-24,Children (under 12),BEAL01,SINEAD,1,45.0,2.25,3.6,April,4,Tuesday,1
296,2018-04-24,Children (under 12),BEAA01,SINEAD,1,45.0,2.25,3.6,April,4,Tuesday,1
297,2018-04-24,Women's hair cut,MCKT01,BECKY,1,60.0,3.0,4.8,April,4,Tuesday,1
298,2018-04-25,Men's hair cut,WRI*01,SINEAD,1,35.0,1.75,2.8,April,4,Wednesday,2
299,2018-04-25,Women's hair cut,HILE01,JJ,1,82.0,4.1,6.56,April,4,Wednesday,2
30,2018-03-21,Men's hair cut,BERI01,JJ,1,40.0,2.0,3.2,March,3,Wednesday,2
300,2018-04-25,Men's hair cut,SLUS01,JJ,1,40.0,2.0,3.2,April,4,Wednesday,2
