cliente,qte_faltas,moda_servico_faltante,moda_staff_faltante,moda_servico_cancelado,moda_staff_cancelado,moda_staff_cancelador_cancelado,antecedencia,qte_cancelamento,qte_servicos_por_dia,moda_staff_prestou_servico,moda_dia,mean,median,std,max,min,frequencia
KOEE01,0.0,,,,,,,0.0,1.0,KELLY,Friday,35.0,35.0,,35.0,35.0,1
MURS01,0.0,,,,,,,0.0,1.0,BECKY,Friday,5.0,5.0,0.0,5.0,5.0,2
NGUS01,0.0,,,CTU,JJ,CTU,1.0,2.0,1.0,JJ,Friday,108.5,102.0,21.748563170931543,140.0,90.0,4
ABL*01,0.0,,,,,,,0.0,2.0,BECKY,Friday,44.1,48.0,9.607635852105693,50.4,30.0,4
CROB01,0.0,,,,,,,0.0,2.0,KELLY,Friday,26.5,26.5,12.020815280171307,35.0,18.0,2
DSIC01,0.0,,,,,,,0.0,1.0,JJ,Friday,82.0,82.0,,82.0,82.0,1
KHUN01,0.0,,,,,,,0.0,1.0,KELLY,Friday,20.0,20.0,,20.0,20.0,1
LIMB01,0.0,,,,,,,0.0,1.0,BECKY,Friday,40.0,40.0,14.142135623730951,50.0,30.0,2
BUDG02,0.0,,,SHCM,SINEAD,SHCM,18.0,1.0,1.25,SINEAD,Thursday,44.760000000000005,50.0,12.115609765917686,55.0,28.8,5
SCHJ02,0.0,,,,,,,0.0,1.0,JJ,Thursday,40.0,40.0,,40.0,40.0,1
INFB01,0.0,,,,,,,0.0,1.0,KELLY,Friday,0.0,0.0,0.0,0.0,0.0,2
WOOD02,0.0,,,SBD,JJ,SBD,0.0,1.0,1.0,JJ,Thursday,59.0,52.0,15.362291495737217,82.0,50.0,4
SPRK01,0.0,,,,,,,0.0,1.3333333333333333,JJ,Wednesday,98.4,81.8,56.427889085687646,180.0,50.0,4
HUAR01,0.0,,,,,,,0.0,1.0,KELLY,Saturday,35.0,35.0,,35.0,35.0,1
ERWS01,1.0,CON,JJ,CTU,JJ,CTU,3.0,2.0,2.0,JJ,Saturday,87.46666666666665,92.0,37.306657136048344,140.0,28.8,6
TIEM01,0.0,,,,,,,0.0,4.0,KELLY,Saturday,51.25,42.5,34.73110997362451,100.0,20.0,4
FIGM01,0.0,,,,,,,0.0,1.0,KELLY,Saturday,55.0,55.0,14.142135623730951,65.0,45.0,2
CONJ01,0.0,,,,,,,0.0,1.0,JJ,Saturday,82.0,82.0,,82.0,82.0,1
LEEO01,0.0,,,,,,,0.0,1.0,JOANNE,Friday,95.0,95.0,63.63961030678928,140.0,50.0,2
THOW02,0.0,,,,,,,0.0,1.0,JJ,Friday,50.0,50.0,14.142135623730951,60.0,40.0,2
TAYB01,0.0,,,,,,,0.0,1.0,JJ,Saturday,82.0,82.0,,82.0,82.0,1
SUNS01,0.0,,,SHCW,KELLY,SHCW,5.0,1.0,2.0,KELLY,Saturday,55.0,55.0,14.142135623730951,65.0,45.0,2
BENS02,0.0,,,,,,,0.0,2.0,JOANNE,Saturday,47.865,47.865,24.232549391262985,65.0,30.73,2
RUDJ01,0.0,,,,,,,0.0,1.0,KELLY,Saturday,45.0,45.0,,45.0,45.0,1
LINJ01,0.0,,,,,,,0.0,1.5,JJ,Tuesday,72.14666666666666,82.0,35.81151397711822,102.0,32.44,3
YATT01,0.0,,,,,,,0.0,1.0,BECKY,Tuesday,46.0,50.0,8.94427190999916,50.0,30.0,5
NIES02,0.0,,,SHCM,JJ,SHCM,1.0,1.0,1.0,JJ,Thursday,50.0,50.0,14.142135623730951,60.0,40.0,2
BRES01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,95.33333333333333,102.0,11.547005383792513,102.0,82.0,3
PARJ02,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,35.0,35.0,,35.0,35.0,1
STEK01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,55.0,55.0,35.35533905932738,80.0,30.0,2
LEHF01,0.0,,,,,,,0.0,1.0,BECKY,Tuesday,60.0,60.0,,60.0,60.0,1
ZUKS01,0.0,,,,,,,0.0,1.0,BECKY,Tuesday,43.333333333333336,50.0,11.547005383792515,50.0,30.0,3
MARD01,0.0,,,,,,,0.0,1.0,BECKY,Tuesday,70.0,70.0,14.142135623730951,80.0,60.0,2
VERD01,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,45.0,45.0,14.142135623730951,55.0,35.0,2
FIND01,0.0,,,,,,,0.0,2.0,JOANNE,Tuesday,97.5,97.5,74.24621202458749,150.0,45.0,2
TRAJ01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,50.0,50.0,14.142135623730951,60.0,40.0,2
PENM01,0.0,,,SHCW,BECKY,SHCW,5.0,4.0,1.8,JOANNE,Friday,80.22222222222223,50.0,62.33333333333333,240.0,50.0,9
FRAM01,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,45.0,45.0,,45.0,45.0,1
FER*01,0.0,,,,,,,0.0,1.0,BECKY,Tuesday,60.0,60.0,,60.0,60.0,1
FANM01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,82.0,82.0,,82.0,82.0,1
LEM01,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,0.0,0.0,,0.0,0.0,1
ZHAV01,0.0,,,,,,,0.0,1.0,JOANNE,Tuesday,65.0,65.0,,65.0,65.0,1
